Price,Adj Close,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,,
2024-02-05,71858.3828125,74300.0,74800.0,73500.0,74200.0,19026021
2024-02-06,71955.1015625,74400.0,74700.0,73300.0,74300.0,14559254
2024-02-07,72535.3828125,75000.0,75500.0,74300.0,74600.0,16566445
2024-02-08,71664.9453125,74100.0,75200.0,73600.0,75000.0,20810708
2024-02-13,72728.8046875,75200.0,75200.0,74400.0,74800.0,21966745
2024-02-14,71568.25,74000.0,74300.0,73700.0,73700.0,12434945
2024-02-15,70794.53125,73200.0,74400.0,73000.0,74200.0,14120600
2024-02-16,70407.671875,72800.0,73400.0,72500.0,73300.0,13444781
2024-02-19,71374.8125,73800.0,73900.0,72800.0,72800.0,12726404
2024-02-20,70891.25,73300.0,73700.0,72800.0,73700.0,14681477
2024-02-21,70601.1015625,73000.0,73700.0,72900.0,73400.0,11503495
2024-02-22,70697.8203125,73100.0,73900.0,72700.0,73800.0,15208934
2024-02-23,70504.3828125,72900.0,74200.0,72900.0,73600.0,16225166
2024-02-26,70407.671875,72800.0,73200.0,72200.0,72300.0,14669352
2024-02-27,70504.3828125,72900.0,73400.0,72700.0,73100.0,13201981
2024-02-28,70794.53125,73200.0,73900.0,72800.0,72900.0,11795859
2024-02-29,70987.9609375,73400.0,73400.0,72000.0,72600.0,21176403
2024-03-04,72438.671875,74900.0,75000.0,74000.0,74300.0,23210474
2024-03-05,71278.09375,73700.0,74800.0,73700.0,74600.0,19505125
2024-03-06,70504.3828125,72900.0,73500.0,72700.0,73200.0,21547905
2024-03-07,69827.390625,72200.0,73300.0,72200.0,73100.0,14516963
2024-03-08,70891.25,73300.0,73400.0,72600.0,72800.0,19271349
2024-03-11,70020.828125,72400.0,73100.0,72300.0,72900.0,9740504
2024-03-12,70891.25,73300.0,73500.0,72100.0,72600.0,13011654
2024-03-13,71664.9453125,74100.0,74100.0,73500.0,73700.0,15243134
2024-03-14,71858.3828125,74300.0,74500.0,73600.0,74400.0,22545539
2024-03-15,69924.109375,72300.0,73700.0,72300.0,73400.0,22580555
2024-03-18,70407.671875,72800.0,73000.0,72500.0,72600.0,11520348
2024-03-19,70407.671875,72800.0,73000.0,71700.0,72300.0,15376066
2024-03-20,74372.9453125,76900.0,77200.0,73400.0,73700.0,50106297
2024-03-21,76694.0625,79300.0,79300.0,77700.0,79200.0,44569799
2024-03-22,76307.2265625,78900.0,79900.0,77800.0,79600.0,26724761
2024-03-25,75630.21875,78200.0,79800.0,77800.0,79600.0,18703996
2024-03-26,77274.34375,79900.0,80100.0,79200.0,79700.0,30551494
2024-03-27,77177.640625,79800.0,80000.0,79200.0,79200.0,17424595
2024-03-28,78499.8984375,80800.0,81000.0,79200.0,79400.0,25084812
2024-03-29,80054.3515625,82400.0,82500.0,80900.0,81200.0,27126366
2024-04-01,79665.75,82000.0,83300.0,82000.0,83200.0,20116513
2024-04-02,82580.3359375,85000.0,85000.0,82900.0,82900.0,37077944
2024-04-03,81705.9609375,84100.0,85000.0,83500.0,84300.0,30493347
2024-04-04,82871.8046875,85300.0,85500.0,84300.0,85200.0,25248934
2024-04-05,82094.578125,84500.0,85000.0,83800.0,84500.0,18883752
2024-04-08,82094.578125,84500.0,86000.0,84500.0,85200.0,18953232
2024-04-09,81220.203125,83600.0,84900.0,83100.0,84500.0,23725956
2024-04-11,81705.9609375,84100.0,84700.0,82500.0,83200.0,25538009
2024-04-12,81317.34375,83700.0,84900.0,83200.0,84700.0,17061770
2024-04-15,79860.0546875,82200.0,83200.0,81200.0,82900.0,26663772
2024-04-16,77722.671875,80000.0,81300.0,79400.0,81200.0,31949845
2024-04-17,76653.984375,78900.0,80800.0,78900.0,80700.0,22611631
2024-04-18,77334.0546875,79600.0,80100.0,78300.0,78800.0,21370190
2024-04-19,75390.9921875,77600.0,78700.0,76300.0,78300.0,31317563
2024-04-22,73933.6953125,76100.0,77500.0,75100.0,77400.0,30469477
2024-04-23,73350.78125,75500.0,76800.0,75500.0,76400.0,18717699
2024-04-24,76362.53125,78600.0,78800.0,77200.0,77500.0,22166150
2024-04-25,74127.9921875,76300.0,77500.0,76300.0,77300.0,15549134
2024-04-26,74516.6171875,76700.0,77900.0,76500.0,77800.0,12755629
2024-04-29,74516.6171875,76700.0,77600.0,76200.0,77400.0,14664474
2024-04-30,75293.8359375,77500.0,78500.0,76600.0,77000.0,19007007
2024-05-02,75779.609375,78000.0,78600.0,77300.0,77600.0,18900640
2024-05-03,75390.9921875,77600.0,79000.0,77500.0,79000.0,13151889
2024-05-07,78985.671875,81300.0,81300.0,79400.0,79600.0,26238868
2024-05-08,78985.671875,81300.0,81400.0,80500.0,80800.0,13089576
2024-05-09,77431.21875,79700.0,81500.0,79700.0,81100.0,18759935
2024-05-10,76945.4453125,79200.0,81100.0,78900.0,80400.0,16976124
2024-05-13,76168.2265625,78400.0,79900.0,77600.0,79400.0,18652344
2024-05-14,76071.0625,78300.0,78800.0,77900.0,78600.0,11763992
2024-05-16,75973.9140625,78200.0,80300.0,78100.0,80200.0,20989778
2024-05-17,75196.6796875,77400.0,78800.0,77200.0,78600.0,15918201
2024-05-20,76653.984375,78900.0,79100.0,77900.0,78100.0,19456783
2024-05-21,76168.2265625,78400.0,79000.0,78200.0,78500.0,13690583
2024-05-22,75488.1484375,77700.0,78700.0,77300.0,78100.0,19521506
2024-05-23,76071.0625,78300.0,79100.0,77100.0,77700.0,18728087
2024-05-24,73739.390625,75900.0,77000.0,75700.0,76800.0,27891278
2024-05-27,75002.3828125,77200.0,78200.0,74000.0,75300.0,43825202
2024-05-28,75390.9921875,77600.0,78000.0,76200.0,76500.0,18539072
2024-05-29,73059.3125,75200.0,78200.0,75200.0,77700.0,30244875
2024-05-30,71407.7109375,73500.0,75200.0,73500.0,74800.0,28551273
2024-05-31,71407.7109375,73500.0,74700.0,73500.0,74500.0,26198776
2024-06-03,73545.0703125,75700.0,76400.0,74200.0,74400.0,15706268
2024-06-04,73156.46875,75300.0,76100.0,74900.0,74900.0,14098053
2024-06-05,75196.6796875,77400.0,78000.0,76800.0,78000.0,23177968
2024-06-07,75099.53125,77300.0,78600.0,77100.0,78400.0,21189349
2024-06-10,73545.0703125,75700.0,76600.0,75600.0,76100.0,14598755
2024-06-11,73059.3125,75200.0,76000.0,75100.0,75900.0,16971175
2024-06-12,74322.3046875,76500.0,77100.0,75200.0,75300.0,19246725
2024-06-13,76362.53125,78600.0,79000.0,77800.0,78400.0,33763804
2024-06-14,77334.0546875,79600.0,80500.0,79000.0,79700.0,22926612
2024-06-17,75876.7578125,78100.0,79500.0,78000.0,79200.0,16123051
2024-06-18,77528.3671875,79800.0,80200.0,78600.0,78700.0,18207598
2024-06-19,78888.5078125,81200.0,82500.0,80500.0,81100.0,24168863
2024-06-20,79277.125,81600.0,82200.0,81200.0,81500.0,20288913
2024-06-21,77722.671875,80000.0,80800.0,80000.0,80700.0,17907523
2024-06-24,78305.59375,80600.0,80900.0,79500.0,79700.0,15454227
2024-06-25,78499.8984375,80800.0,81800.0,80100.0,80600.0,19088458
2024-06-26,78985.671875,81300.0,81400.0,79900.0,80100.0,17783242
2024-06-27,79630.71875,81600.0,81600.0,80500.0,81300.0,11739720
2024-06-28,79533.125,81500.0,81900.0,80800.0,81900.0,9455929
2024-07-01,79825.890625,81800.0,82100.0,81300.0,81500.0,11317202
2024-07-02,79825.890625,81800.0,82600.0,81500.0,82500.0,14471904
2024-07-03,79825.890625,81800.0,82300.0,81000.0,82300.0,11440328
2024-07-04,82558.3203125,84600.0,84700.0,82400.0,82900.0,43857229
2024-07-05,84997.984375,87100.0,87100.0,85200.0,85600.0,45791193
2024-07-08,85290.75,87400.0,88600.0,86900.0,87900.0,24035809
2024-07-09,85681.09375,87800.0,88200.0,86900.0,87800.0,21336201
